Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,59.0340004,59.32400131,59.81900024,60.04000092,61.1609993,61.66400146,62.32500076,62.70999908,61.79199982,61.98300171,62.09700012,61.74900055,61.26399994,60.76599884,61.06700134,61.16600037,61.52700043,62.15200043,62.54700089,60.82899857
Belgium,47.74499893,47.65299988,47.40599823,48.20100021,48.80099869,48.72800064,49.59199905,49.93299866,49.24100113,49.58800125,49.40200043,49.23500061,49.04499817,48.95100021,48.78900146,48.95100021,50.02299881,50.9659996,51.47499847,50.84199905
Canada,61.15100098,61.73899841,62.44599915,62.63700104,62.60100174,62.7840004,63.36700058,63.41199875,61.49499893,61.51699829,61.70000076,61.65200043,61.76100159,61.43000031,61.29000092,61.11000061,61.5909996,61.59700012,61.99100113,57.9640007
Chile,49.29399872,48.9659996,49.65399933,49.77099991,50.5340004,51.74900055,52.51499939,53.11100006,51.75099945,53.7120018,55.54999924,55.71500015,56.02099991,55.97600174,55.95399857,55.60200119,55.72200012,55.51399994,55.23699951,49.11700058
Colombia,57.46699905,56.95600128,58.52399826,57.53900146,58.11299896,57.67900085,56.73099899,57.0,59.04499817,60.31999969,61.54800034,62.64899826,62.78300095,63.22399902,63.71300125,63.06800079,62.77899933,62.15999985,60.75899887,53.27000046
Costa Rica,57.42599869,56.81100082,57.00799942,55.97900009,57.99200058,58.17699814,59.77000046,59.16999817,56.75799942,54.96500015,52.91899872,56.40599823,56.43500137,56.50999832,55.35499954,52.81999969,53.47200012,54.43000031,55.15100098,48.49700165
Czech Republic,54.875,55.2859993,54.76399994,54.12900162,54.67100143,55.0320015,55.64300156,55.93199921,54.77199936,54.18600082,54.35100174,54.54700089,55.15999985,55.68600082,56.41899872,57.5530014,58.47999954,59.20299911,59.16600037,58.26499939
Estonia,50.5929985,51.48099899,52.31200027,53.01499939,54.02299881,57.05599976,57.77099991,57.77999878,52.49200058,50.38999939,53.74200058,55.16699982,56.03699875,56.62799835,58.27500153,58.61999893,59.99300003,60.37400055,60.81800079,59.3030014
France,50.72100067,50.87200165,51.72200012,51.23799896,51.46500015,51.40499878,51.96900177,52.38999939,51.63499832,51.4980011,51.3030014,51.16199875,50.8409996,50.33599854,50.21300125,50.20999908,50.40399933,50.60300064,50.62200165,50.16199875
Germany,53.01399994,52.41400146,51.7140007,50.76800156,51.89400101,52.91699982,54.02799988,54.78499985,54.79299927,55.23199844,56.5929985,56.83800125,57.19400024,57.40200043,57.38999939,58.49599838,58.91500092,59.20899963,59.97600174,59.25299835
