Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,20886.34,21092.09,21367.3,21742.33,21918.62,21583.12,22298.92,21908.38,22190.21,22078.72,22245.78,22548.76,22615.58,22686.22,22962.95,23229.11,23436.3,23778.64,24161.03,24526.15
Belgium,22709.27,23013.69,22880.56,22632.71,22459.97,22502.39,22762.13,22670.25,23793.53,23283.77,23168.41,22979.28,23409.67,23330.35,23200.09,22979.09,22951.45,22712.52,22838.17,22897.17
Canada,15083.2,14924.64,14715.09,14738.63,14868.15,15196.17,15347.85,15967.77,16911.52,17515.46,17565.91,17895.37,18013.26,18129.47,18410.41,18694.93,19020.03,21019.05,21371.26,21760.75
Chile,4596.13,4728.54,4793.66,4927.64,5022.17,5151.8,5244.46,5238.96,5582.34,5725.56,5819.93,5985.17,6274.56,6475.96,6650.9,7016.61,7225.29,7396.97,7697.64,7930.51
Colombia,6054.77,6150.98,6168.93,6281.36,6371.82,6533.95,6580.62,6544.42,6762.34,6853.01,6891.61,7067.91,7206.83,7318.72,7291.68,7256.79,7443.79,7635.56,7818.07,8083.08
Costa Rica,8105.27,8004.04,8063.22,7970.75,8030.45,8117.52,8188.97,8354.15,8455.18,8755.35,8867.54,9017.71,9095.38,9056.56,9596.76,9867.71,9709.84,9729.68,9785.14,9959.91
Czech Republic,6039.91,6756.91,7340.91,7719.84,8127.73,8563.99,8581.18,8068.15,7986.74,7870.82,7722.76,7476.95,7562.88,7804.77,8421.46,9000.7,9761.57,10598.65,11403.27,11954.5
Estonia,3468.89,3872.64,4461.9,4971.33,5180.88,5532.36,6227.82,6818.87,6824.22,6627.26,6312.76,6335.58,6801.85,7553.83,8339.63,9181.33,9703.8,9980.24,10538.67,11448.26
France,18368.69,18600.74,18920.12,19553.88,20309.13,20817.45,21028.23,21069.03,21437.84,21295.22,21269.64,21542.69,21633.51,21752.37,21926.84,22023.37,22001.23,21867.01,21955.68,22112.99
Germany,,,,,,,,,,,,,,,23070.98,22958.08,23653.28,23250.54,23756.23,23379.06
Greece,13732.29,13957.34,14172.03,14478.36,14759.47,15185.99,15551.05,15857.24,16565.57,16099.3,15705.51,12959.3,12649.3,12817.36,13043.81,13152.4,13006.56,12925.7,14182.01,14479.89
Hungary,5766.44,6847.5,6542.55,6496.93,6746.97,7118.23,6909.96,6864.41,6825.64,6691.65,6832.82,7710.99,7987.12,8291.25,8582.44,9037.19,10154.32,10673.43,11151.89,11662.07
Ireland,15596.64,15656.66,15826.46,16949.05,17689.83,17524.61,18519.08,18153.25,19004.28,19181.15,18702.89,18390.94,18297.85,18264.51,18317.61,19374.82,19520.1,20055.24,20388.79,21083.47
Israel,12260.39,11866.98,12028.89,12078.62,11922.12,12263.04,12826.39,12604.91,12423.3,12094.72,12097.82,12389.11,12637.71,12576.52,13429.47,14021.14,14761.87,15520.73,15390.81,15481.91
Japan,12360.22,12562.51,12657.42,12677.61,12742.93,12777.49,12910.28,13007.66,13460.19,13786.6,14103.73,14269.03,14466.42,14363.18,14556.0,14941.47,15331.68,15643.79,16049.13,16422.23
Korea,8162.38,8821.72,9292.14,9986.5,10856.4,11247.24,12313.79,12744.3,13159.05,13134.87,13271.69,12733.54,13338.43,14119.04,15015.7,16070.49,16914.24,19399.04,21429.49,21927.62
Latvia,3229.98,3456.6,3917.42,4215.98,3949.45,4170.54,5050.93,5835.74,6341.11,6410.64,6824.65,6673.96,6675.93,7475.79,8395.63,8616.73,8597.67,9488.46,9228.99,9208.82
Lithuania,4697.47,4684.28,4811.49,5264.41,5570.15,5880.76,6287.11,6975.81,6678.42,6591.46,6330.02,6300.19,7595.79,7655.9,8260.39,9561.56,9597.21,9836.93,13337.38,14414.05
Luxembourg,21813.42,21770.06,22584.62,22551.76,23005.19,22872.59,23301.29,23004.08,23962.56,23819.35,23909.21,23871.14,23783.83,24710.59,24618.54,24547.15,25078.53,24958.28,25385.17,25808.14
Mexico,1914.29,1927.87,1927.09,1919.11,1928.37,1935.24,1933.8,1913.28,1901.02,1913.68,1926.61,1929.62,1938.03,1935.77,1975.09,2041.27,2109.46,2219.97,2489.61,2889.06
Netherlands,24397.09,24664.98,24911.92,24753.57,24342.64,24338.88,24521.86,24601.11,25107.75,25182.46,24781.23,24690.03,24385.85,24495.07,24535.47,24931.75,25034.51,25051.48,25017.78,25328.38
New Zealand,14601.3,14708.81,15272.22,15800.77,16226.41,16841.72,17961.2,18553.37,19034.16,19075.7,18698.42,19127.99,19355.34,19731.79,20370.63,20931.8,21230.82,21649.11,22406.28,24066.48
Poland,6950.15,6820.21,7130.48,7104.09,7163.2,7488.85,7609.96,8788.67,9595.28,9654.44,9747.03,10186.08,10758.43,11290.27,11864.41,12626.31,13372.46,13791.06,14454.17,16157.38
Portugal,9691.18,9741.15,9670.27,9672.07,9705.38,9689.12,9881.37,10181.7,10845.93,11290.2,11121.48,10821.37,10791.76,10821.86,11213.54,11697.48,12127.42,12504.06,12891.58,13645.28
Slovenia,10658.8,11057.36,11420.7,11795.35,12082.17,12186.31,12050.9,12323.82,12677.29,14948.11,15393.69,15351.12,15492.08,15560.55,15683.17,15691.8,15749.12,16207.48,16777.01,17807.63
Spain,12194.85,12071.0,11953.39,11839.93,12483.85,12997.02,13338.9,13476.91,14056.47,14013.74,13753.4,13425.02,13319.04,13339.17,13474.82,13637.08,14449.85,14778.09,17947.94,19006.38
Thailand,1380.01,1354.92,1413.46,1421.82,1513.83,1538.92,1597.46,1697.83,1697.83,1722.92,1798.19,2509.1,2509.1,2509.1,2509.1,2509.1,2550.92,2718.19,2768.38,2810.19
Turkey,6026.52,6458.34,6873.58,8968.16,9344.1,9263.82,9203.74,9056.71,9288.71,9377.37,9658.84,9920.87,10103.75,10232.76,10667.46,13173.19,12791.45,12554.47,13740.82,14077.84
United Kingdom,14707.81,15733.71,16093.25,17025.49,17818.81,18179.11,18691.01,18666.09,18879.94,18691.64,18407.96,18370.0,18289.23,18430.76,18912.3,20583.27,20693.78,21103.97,21735.41,22781.65
