Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,23.09794376,23.01504056,22.91571814,22.88391227,22.83751762,23.16047145,23.03149436,22.96762861,22.96795303,22.88939515,22.87343418,22.59417446,22.47150454,22.77442155,22.76697552,22.92287253,23.56239768,24.19292486,24.02466049,24.32818498,25.01952371,25.54250819,26.03674897,26.50886049,26.8463447,27.06036168,27.32436573,27.64656119,27.7169423,
Afghanistan,AFG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,9.100000381,8.949999809,8.449999809,7.880000114,8.100000381,7.849999905,7.610000134,7.380000114,7.110000134,6.739999771,6.28000021,7.090000153,7.429999828,7.480000019,7.860000134,8.079999924,8.649999619,8.920000076,10.14999962,11.43000031,12.10999966,13.36999989,14.34000015,15.13000011,15.78999996,16.5,17.54999924,17.65999985,17.80999947,
Africa Western and Central,AFW,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,11.23279811,11.27209314,11.1699582,11.16849998,11.40026132,11.58356239,11.75841738,11.62133925,11.91210733,12.49499243,12.48032968,12.55892256,13.102691,13.79710099,14.24740933,14.5914914,14.90647925,15.4935079,15.66450275,16.6995358,17.7565515,18.06959759,17.98267168,18.2739758,18.05664384,18.10998293,18.9122716,19.53302565,20.05998811,
Angola,AGO,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,32.24000168,32.65999985,32.34999847,33.02999878,33.11000061,33.58000183,33.34000015,33.20000076,35.36999893,35.75,35.49000168,35.11999893,35.18999863,35.84000015,36.20999908,35.18999863,34.97000122,34.18000031,29.87000084,29.36000061,28.10000038,27.88999939,26.98999977,25.52000046,24.22999954,23.43000031,22.60000038,21.62000084,21.48999977,
Albania,ALB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,35.88999939,34.38000107,34.45000076,34.52000046,35.04999924,35.38999939,33.49000168,33.97000122,35.08000183,35.88999939,37.09999847,37.59999847,38.36000061,39.13999939,39.72000122,41.13000107,41.90000153,39.83000183,42.08000183,43.29999924,38.91999817,36.93999863,40.47999954,42.06999969,41.18999863,41.40000153,42.90000153,44.52000046,45.72999954,
Andorra,AND,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,58.25421891,57.72989527,57.81739117,58.06147785,58.63963417,59.14790084,59.60991209,59.78816624,60.01274267,59.76244821,60.31757621,60.20556613,59.94518769,59.90690202,61.32126687,62.98672583,62.7072823,63.99871837,64.50024428,65.56054346,65.80778032,66.78926965,66.89255975,67.02954888,67.70524588,69.5984237,69.3548468,69.5383164,69.88014398,
United Arab Emirates,ARE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,97.02999878,97.02999878,97.01999664,97.01999664,97.01999664,97.02999878,97.04000092,97.01000214,97,97.05000305,97.01000214,96.98999786,96.98999786,96.97000122,96.93000031,96.70999908,96.33000183,95.81999969,95.95999908,96.16000366,96.36000061,96.54000092,96.69000244,96.83999634,96.94999695,97.05999756,96.52999878,96.02999878,95.05999756,
Argentina,ARG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,70.26999664,70.15000153,68.80000305,70.20999908,70.63999939,70.80000305,71.75,72.15000153,72.44000244,72.38999939,71.81999969,71.66999817,73.69000244,74.37999725,74.75,75.65000153,76.36000061,76.31999969,75.95999908,76.44000244,76.90000153,77.01000214,76.44999695,76.34999847,75.95999908,75.18000031,74.66000366,74.47000122,73.48999786,
Armenia,ARM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,62.25,60.06000137,57.93999863,56.09000015,54.70000076,53.56999969,52.56000137,52.00999832,51.27999878,50.66999817,50.50999832,50.81999969,51.54000092,52.31999969,53.33000183,54.63999939,56.34999847,57.65000153,56.86000061,56.86000061,55.56999969,56.36999893,57.20000076,55.86000061,57.20000076,58.04999924,59.65999985,64.41999817,66.02999878,
American Samoa,ASM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,80,79.86000061,79.55999756,79.75,79.98000336,80.06999969,79.86000061,80.08999634,80.37999725,80.01999664,79.80000305,79.66000366,80.12999725,80.33999634,80.34999847,81.04000092,81.69000244,81.80999756,81.76000214,81.62999725,82.20999908,82.83000183,83.16000366,82.86000061,82.94000244,82.94999695,83.09999847,83.54000092,83.41999817,
Austria,AUT,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,85.19999695,85.31999969,85.40000153,85.58999634,85.75,85.56999969,86.15000153,86.19999695,86.31999969,86.48999786,86.58000183,86.5,86.95999908,87.44999695,87.05000305,86.94999695,86.30999756,86.45999908,86.36000061,86.19000244,86.72000122,86.93000031,86.80000305,86.70999908,87,87.27999878,87.62000275,87.98999786,87.83999634,
